weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
16,1,2,8,5,3,61.53846153846154,30.920498704663213,1,0.8333333333343518
19,7,7,1,4,1,53.846153846153854,28.83891942100782,1,56.59999999999776
22,3,4,8,7,3,61.53846153846154,32.95660621761658,1,56.46666666666577
26,8,5,7,6,3,63.63636363636363,31.93706943261862,1,40.05000000000037
26,8,5,7,6,2,58.33333333333333,31.126248161622417,1,63.20000000000103
24,5,5,8,6,2,58.33333333333333,33.22012629533679,1,69.93333333333408
15,5,4,4,2,1,52.94117647058823,42.52929953665849,1,64.74285714285655
24,7,7,5,5,1,53.846153846153854,29.61219908661661,1,113.9777777777784
39,8,7,11,13,10,75.0,40.117487573429734,1,2.5999999999992696
41,9,7,12,13,10,75.0,37.66305166440729,1,46.36666666666622
47,11,13,10,13,14,79.16666666666666,36.910642700116384,1,14.100000000001334
45,7,12,10,16,16,83.33333333333333,44.33725591620328,1,3.5000000000007248
38,5,10,9,14,14,81.81818181818181,45.2437605069184,1,6.818181818182278
29,9,5,8,7,6,71.42857142857143,37.990430622009576,1,41.09999999999836
11,3,6,2,0,5,60.869565217391305,42.07621414517966,1,11.699999999998933
24,8,5,5,6,1,52.631578947368425,26.783109972408354,1,98.49999999999693
9,2,6,0,1,4,58.33333333333333,42.2261498133291,1,8.199999999998209
37,8,8,9,12,10,77.77777777777777,41.09659899133583,1,43.89999999999894
33,8,7,8,10,8,75.0,40.68731410836674,1,46.599999999998865
19,8,7,4,0,3,57.14285714285714,30.528675601103668,1,73.40000000000124
15,6,7,2,0,6,62.50000000000001,35.57400472999606,1,33.981818181818554
8,0,6,1,1,4,58.33333333333333,38.323536420684725,1,26.26666666666555
2,0,1,1,0,1,52.631578947368425,32.63737486095661,1,17.677777777778125
18,8,7,3,0,5,60.869565217391305,32.71482065431612,1,70.04444444444368
9,1,6,1,1,4,58.33333333333333,40.94566685201366,1,34.73333333333439
46,9,12,12,13,10,75.0,39.65130290706431,1,144.6000000000014
46,10,12,11,13,10,75.0,41.26826329266456,1,117.02857142857238
29,5,5,11,8,9,71.42857142857143,42.23744560743267,1,14.933333333333465
34,9,6,10,9,10,69.23076923076923,52.69369481407785,1,7.314285714286051
39,8,9,10,12,14,81.81818181818181,50.49869419226464,1,8.636363636365108
37,8,8,10,11,12,75.0,52.490983708493964,1,36.000000000000476
42,10,8,10,14,14,81.81818181818181,46.66148488993906,1,21.600000000001618
35,10,7,7,11,9,71.42857142857143,45.550304688471584,1,52.39999999999911
27,10,6,4,7,7,68.42105263157895,45.29847033951001,1,42.800000000000615
24,7,6,4,7,8,70.0,49.273298276365765,1,34.000000000000696
22,4,8,4,6,8,70.0,50.57843996494304,1,43.83333333333405
20,4,7,3,6,8,70.0,51.760151913526144,1,48.50000000000021
25,5,7,7,6,9,80.0,33.895382817066036,1,2.044444444442295
20,3,5,4,8,11,86.66666666666667,40.404734073641144,1,0.4999999999988347
14,3,3,4,4,4,66.66666666666666,37.99629846093902,1,26.89999999999859
21,3,7,4,7,11,86.66666666666667,39.63763880771479,1,45.072727272728045
15,5,6,0,4,1,52.94117647058823,42.98604427333975,1,33.314285714285404
18,0,3,5,10,1,52.631578947368425,47.505073415303805,1,4.999999999999449
23,6,10,2,5,2,55.55555555555556,43.383862688482516,1,84.55714285714234
18,4,4,5,5,6,71.42857142857143,40.20839702435545,1,3.5272727272728233
7,2,3,0,2,1,52.17391304347826,44.314998072227226,1,65.1999999999986
11,4,1,4,2,2,57.14285714285714,41.521544987720475,1,2.2999999999995246
13,4,5,2,2,2,57.14285714285714,37.73163652601027,1,48.37272727272746
13,4,4,3,2,2,57.14285714285714,39.18955123911587,1,78.46666666666557
7,2,2,0,3,3,61.53846153846154,45.8862058080808,1,16.971428571428415
13,4,3,3,3,5,66.66666666666666,40.145552122296316,1,7.846153846153836
13,3,3,4,3,7,76.92307692307693,41.08472922426411,1,12.953846153846982
12,3,3,3,3,6,75.0,42.0336640104082,1,18.26666666666643
9,3,3,0,3,6,75.0,44.08603024882095,1,16.199999999999548
10,2,3,1,4,7,73.33333333333333,50.6630568042501,1,25.399999999999867
7,2,2,1,2,4,62.50000000000001,48.07110747854516,1,39.9000000000016
5,2,2,1,0,2,57.14285714285714,46.49213322435635,1,42.35555555555548
4,2,2,0,0,2,57.14285714285714,44.7573559460564,1,50.9777777777809
4,2,2,0,0,3,61.53846153846154,41.62903555373927,1,47.29999999999901
6,1,2,1,2,6,62.50000000000001,44.41616028904582,1,55.46666666666589
36,7,10,7,12,3,57.14285714285714,46.49277784409693,1,57.300000000000125
10,1,2,4,3,3,55.55555555555556,37.48554170415114,1,93.83333333333299
45,9,17,6,13,10,72.72727272727272,45.129130574270135,1,119.43846153846138
37,9,14,5,9,5,61.904761904761905,44.03954122553738,1,146.43333333333342
28,2,9,6,11,1,52.631578947368425,47.76590664915841,1,117.1999999999973
32,4,10,6,12,2,55.0,47.73128805061478,1,104.55714285714235
36,7,10,7,12,5,63.15789473684211,43.501253432016235,1,81.61111111111285
35,7,11,5,12,10,81.25,41.896860451235526,1,76.09999999999894
24,7,5,5,7,4,70.0,32.77702778715266,1,13.999999999998458
23,7,5,4,7,5,72.72727272727272,30.014062324220948,1,5.999999999999339
38,10,4,12,12,2,53.33333333333333,46.391037186142604,1,49.666666666665634
22,5,5,5,7,6,80.0,30.78411519856002,1,14.799999999999258
20,4,5,4,7,5,72.72727272727272,31.626167172910343,1,39.199999999999235
50,12,14,10,14,8,68.18181818181819,43.49509093835506,1,167.30000000000135
48,10,15,9,14,7,65.21739130434783,44.456381780138415,1,194.56666666666678
23,6,5,6,6,3,58.82352941176471,35.26205874427378,1,59.00000000000016
20,6,5,5,4,6,65.0,36.397197520883864,1,31.95000000000059
21,6,6,5,4,4,59.09090909090909,14.893656216505894,1,48.50000000000021
10,2,4,0,4,6,62.50000000000001,17.168743301178992,1,7.818181818182168
