ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
17,18,4,5,4,5,2,57.14285714285714,59.92218763895065,1,39.22857142857117
19,20,4,5,5,6,3,61.53846153846154,50.32111980238781,1,8.663636363637206
20,20,4,5,5,6,5,69.23076923076923,47.66427969671441,1,2.9090909090923045
21,15,4,3,4,4,2,57.14285714285714,47.1609098567818,1,12.400000000000189
22,13,4,3,2,4,1,53.846153846153854,47.866470092670596,1,24.100000000000232
23,12,3,3,2,4,1,53.846153846153854,66.50124069478908,1,17.399999999999636
24,10,2,3,2,3,1,53.846153846153854,68.2227047146402,1,16.1
25,10,2,3,2,3,1,53.846153846153854,69.34553349875931,1,11.63333333333294
26,10,2,4,1,3,2,58.33333333333333,40.72810411537109,1,20.400000000000418
45,4,1,1,1,1,2,75.0,41.698630136986296,1,0.6846153846140624
62,11,1,3,3,4,1,53.846153846153854,31.1489898989899,1,56.399999999999785
66,14,7,5,1,1,1,53.846153846153854,39.096628679962016,1,81.58888888888937
90,9,1,3,3,2,3,66.66666666666666,67.47384615384617,1,12.857142857143344
91,8,1,2,3,2,3,66.66666666666666,64.96615384615384,1,48.40000000000067
92,13,2,2,4,5,5,77.77777777777777,63.10769230769231,1,36.66666666666707
93,16,2,2,6,6,6,87.5,62.44307692307692,1,44.43333333333355
94,14,3,1,5,5,5,85.71428571428571,60.33538461538461,1,16.500000000000405
101,24,5,5,7,7,3,66.66666666666666,55.24942263279446,1,63.53333333333322
102,26,6,6,7,7,3,66.66666666666666,50.949891067538125,1,56.80000000000018
103,26,7,6,6,7,3,66.66666666666666,48.43790849673203,1,54.89999999999995
104,26,7,7,5,7,1,54.54545454545455,45.60130718954248,1,84.17777777777746
105,23,6,8,3,6,3,63.63636363636363,45.912854030501094,1,79.20000000000039
106,14,6,4,1,3,1,55.55555555555556,44.02178649237472,1,11.742857142856833
109,6,1,3,0,2,1,54.54545454545455,47.1917211328976,1,17.018181818181375
168,12,2,4,2,4,1,60.0,47.12900505902193,1,29.40000000000054
169,12,2,4,2,4,1,60.0,46.89502529510961,1,42.828571428571436
170,12,2,4,2,4,1,60.0,47.71922428330523,1,44.74285714285764
193,14,4,3,4,3,1,60.0,44.6936026936027,1,2.866666666666573
204,12,1,3,4,4,1,60.0,53.301886792452834,1,6.333333333332636
206,14,3,3,5,3,1,57.14285714285714,27.880780653372934,1,14.15714285714298
209,15,4,3,3,5,1,60.0,32.28044123886296,1,16.69999999999949
210,14,3,3,3,5,1,60.0,32.34196011879508,1,32.7999999999995
211,15,3,4,3,5,1,60.0,31.851930420025454,1,10.200000000000209
244,6,2,3,1,0,1,54.54545454545455,53.3963155408597,1,50.26363636363662
245,5,2,3,0,0,1,54.54545454545455,51.499763816721774,1,37.90000000000071
246,6,3,3,0,0,2,60.0,50.82900330656589,1,33.800000000000495
280,12,1,3,5,3,6,75.0,47.558641975308646,1,8.657142857142475
281,13,2,3,5,3,6,75.0,46.02777777777778,1,5.5428571428561835
282,11,2,3,3,3,6,75.0,46.01234567901235,1,5.628571428570872
288,15,3,3,5,4,3,80.0,48.78367975365666,1,15.300000000000313
290,15,4,3,4,4,1,57.14285714285714,8.715975578733147,1,23.600000000000286
291,15,3,4,4,4,1,57.14285714285714,13.90522243713733,1,13.333333333332975
292,13,3,4,2,4,2,62.50000000000001,15.232753062540297,1,0.4666666666663932
294,10,2,3,2,3,2,62.50000000000001,15.560224089635852,1,4.799999999999249
295,11,2,4,2,3,1,57.14285714285714,15.293481028775147,1,26.30000000000021
307,33,7,6,10,10,5,77.77777777777777,19.61038961038961,1,23.1142857142852
308,35,8,6,10,11,6,80.0,19.679781003310417,1,4.799999999999249
309,37,8,8,10,11,4,66.66666666666666,20.086580086580085,1,55.08888888888897
310,37,9,8,9,11,6,80.0,19.849121466768526,1,56.199999999999584
311,36,10,9,7,10,7,81.81818181818181,44.42583732057416,0,0.0
312,31,8,8,7,8,6,80.0,41.34707397865293,0,0.0
313,28,7,8,5,8,6,80.0,39.922708870077294,0,0.0
314,28,7,9,4,8,9,84.61538461538461,40.436142804563865,1,9.561538461538843
326,11,3,2,3,3,3,61.53846153846154,36.42422300544697,0,0.0
327,10,3,2,2,3,3,61.53846153846154,41.01249599487344,0,0.0
328,8,3,2,0,3,2,58.33333333333333,41.007689842999035,0,0.0
329,8,4,2,0,2,4,70.0,40.70169817366229,0,0.0
330,6,1,3,0,2,4,70.0,39.96818326439707,0,0.0
331,4,0,3,0,1,2,60.0,38.80369074132994,0,0.0
373,4,2,1,0,1,2,60.0,30.13778550148957,1,20.466666666666413
374,4,2,1,0,1,2,60.0,29.638778550148952,1,24.03333333333313
375,2,0,1,0,1,2,60.0,29.324848484848488,1,36.70000000000062
376,4,0,1,0,3,2,60.0,28.087457952907258,1,2.8857142857152684
407,19,4,5,4,6,2,58.33333333333333,35.689655172413794,1,57.228571428571406
408,23,6,6,5,6,4,70.0,34.22887457370216,1,47.600000000000975
