ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
0,12,5,2,2,3,2,55.0,37.96394317770539,1,40.271428571430064
16,41,9,6,15,11,12,73.07692307692308,47.88919044993851,1,2.20000000000109
17,44,9,10,14,11,13,76.0,48.552012213222504,1,79.95714285714328
18,49,10,11,14,14,13,76.0,47.16377887788779,1,1.9999999999997797
19,48,10,11,12,15,14,79.16666666666666,45.67099834983498,1,9.00000000000123
20,53,14,11,12,16,13,76.0,41.84921617161716,1,40.70000000000018
21,39,12,8,7,12,9,69.56521739130434,40.042491749174914,1,44.10000000000025
22,37,12,10,5,10,8,68.18181818181819,38.70482673267326,1,99.0000000000002
23,32,8,10,5,9,7,66.66666666666666,42.736370425690815,1,118.00000000000033
24,29,6,10,5,8,8,68.18181818181819,44.379387602688574,1,89.01818181818344
25,25,5,9,5,6,7,66.66666666666666,46.27956186208613,1,112.000000000001
26,21,5,9,1,6,7,66.66666666666666,37.466083810672295,1,54.07142857142722
27,12,5,4,0,3,4,61.11111111111111,42.34191287307809,1,13.442857142857978
46,16,4,2,5,5,3,66.66666666666666,33.763834906533404,1,9.600000000000719
47,16,5,2,5,4,2,60.0,39.23019431988042,1,26.49999999999819
48,17,6,5,4,2,3,66.66666666666666,40.648536573605284,1,56.26363636363596
49,15,6,5,2,2,6,75.0,42.315203240271956,1,30.609090909090586
50,12,4,4,2,2,7,76.92307692307693,29.02087832973362,1,11.799999999999589
61,31,7,3,11,10,3,58.82352941176471,32.592105675024264,1,9.999999999998899
62,39,10,8,11,10,2,55.55555555555556,33.393589382414625,1,140.93333333333513
66,24,10,10,1,3,1,52.38095238095238,43.43031036900133,1,101.65384615384632
90,11,1,6,2,2,2,53.846153846153854,48.61829490716924,1,4.727272727271803
101,30,4,8,8,10,7,66.66666666666666,46.437163181720194,0,0.0
102,30,4,8,8,10,7,66.66666666666666,46.20723487757017,1,34.29999999999822
103,36,8,8,7,13,6,65.0,44.811236242641414,1,37.8999999999996
104,38,9,9,7,13,7,68.42105263157895,41.11402610698746,0,0.0
105,36,7,10,6,13,12,87.5,39.00328470267042,1,36.01818181818261
106,29,7,7,5,10,10,85.71428571428571,35.730313113215594,0,0.0
107,29,7,8,6,8,5,66.66666666666666,33.65220544322157,1,60.57692307692264
108,24,6,7,5,6,5,66.66666666666666,35.509555498677585,1,63.96666666666606
109,19,5,6,4,4,3,61.53846153846154,36.97850012797543,1,65.30000000000146
110,19,5,6,4,4,3,61.53846153846154,38.0957542539267,1,76.10000000000116
111,11,3,5,0,3,5,66.66666666666666,43.04523887434556,1,10.323076923077767
112,10,4,4,0,2,4,64.28571428571428,45.626022578534034,0,0.0
168,27,5,6,9,7,10,85.71428571428571,36.917883365684865,1,1.2999999999996348
169,29,6,6,9,8,10,85.71428571428571,37.447252932736944,1,12.242857142856778
170,27,6,6,7,8,10,85.71428571428571,38.905603848426026,1,30.214285714287303
171,26,6,7,5,8,8,75.0,43.012068528989786,1,54.99999999999838
172,25,4,7,4,10,8,75.0,44.72824710946072,1,67.37777777777953
173,24,4,8,4,8,9,76.47058823529412,45.63043294792809,1,39.933333333335156
174,21,3,7,4,7,8,75.0,45.88277491771457,1,40.67272727272808
175,18,4,5,4,5,6,71.42857142857143,44.3311671871044,1,41.199999999999015
176,13,4,4,3,2,3,63.63636363636363,41.20411005148114,1,55.79999999999919
177,9,4,3,1,1,2,60.0,39.18136551607731,1,20.263636363637705
191,12,2,2,4,4,1,57.14285714285714,35.76135260765184,1,2.422222222220327
192,12,2,3,4,3,3,71.42857142857143,36.71144710629821,1,7.900000000000684
193,10,2,2,4,2,2,66.66666666666666,36.88563109771671,1,3.900000000001125
194,12,4,2,4,2,3,71.42857142857143,38.718649435562135,1,4.133333333333766
195,13,4,3,4,2,3,71.42857142857143,42.508337181263144,1,7.949999999998791
196,12,4,3,3,2,3,71.42857142857143,44.46821609973834,1,13.499999999997403
213,22,6,4,5,7,6,80.0,33.44413831656285,1,2.4272727272722783
214,20,6,3,5,6,5,77.77777777777777,31.439666187509985,1,2.8999999999990145
215,20,4,5,5,6,5,77.77777777777777,29.889394665388913,0,0.0
216,20,4,5,5,6,5,77.77777777777777,30.8337326305702,0,0.0
217,20,5,6,3,6,5,77.77777777777777,32.23187190544641,0,0.0
218,18,5,5,3,5,2,58.33333333333333,33.919501677048395,1,71.50909090909208
274,8,2,2,2,2,1,57.14285714285714,33.49132794915928,1,13.799999999999368
275,9,3,2,2,2,2,66.66666666666666,30.85705459199435,1,13.399999999998968
276,8,2,2,2,2,2,66.66666666666666,31.722053047354247,1,16.499999999999293
278,4,2,2,0,0,2,60.0,35.034864733659916,1,10.771428571429986
307,30,7,7,7,9,7,66.66666666666666,24.36306160882432,1,37.94999999999993
308,30,7,7,7,9,9,73.68421052631578,23.45254909873554,1,40.200000000001346
309,33,7,9,8,9,6,66.66666666666666,22.940963814904496,1,50.25454545454666
310,34,8,9,7,10,10,85.71428571428571,21.880380683346786,1,52.836363636366016
311,30,8,8,4,10,10,85.71428571428571,35.453486779010824,1,58.00000000000027
312,26,7,7,4,8,9,84.61538461538461,34.10210302781203,1,47.55000000000065
313,19,3,7,1,8,10,85.71428571428571,33.79024523907385,1,41.799999999998505
314,21,4,7,2,8,12,87.5,34.956329634196464,1,7.777777777779882
323,20,5,4,7,4,7,76.92307692307693,39.77556050623311,1,0.700000000000145
326,24,7,3,7,7,5,66.66666666666666,33.800792519726095,0,0.0
327,21,7,3,5,6,3,58.82352941176471,38.579547429524844,0,0.0
328,15,7,3,2,3,1,52.631578947368425,40.17849073655671,0,0.0
329,11,5,4,2,0,2,55.55555555555556,41.5864298376725,0,0.0
330,11,3,6,2,0,2,55.55555555555556,41.40257327645521,0,0.0
331,10,2,6,2,0,1,52.631578947368425,40.33163616347874,0,0.0
363,8,2,4,2,0,2,54.166666666666664,35.42297080137048,1,34.09999999999913
364,7,2,3,2,0,3,55.99999999999999,38.186380036991,1,0.30000000000196536
365,7,2,3,2,0,3,55.99999999999999,39.130711621842885,1,16.00000000000046
366,5,2,3,0,0,4,58.33333333333333,39.46302416542858,1,16.20000000000177
407,10,1,3,3,3,3,71.42857142857143,29.942499820311934,1,7.0571428571408745
412,24,4,5,8,7,3,60.0,40.94281919541435,1,67.33333333333258
413,22,3,5,8,6,2,56.25,42.86760336933347,1,67.12857142857187
414,21,3,6,7,5,4,62.50000000000001,43.77232297964005,1,51.900000000000276
415,26,8,6,7,5,4,62.50000000000001,42.558890973525116,1,50.966666666665276
416,25,7,7,6,5,4,62.50000000000001,39.87387950802585,1,62.9999999999975
445,10,1,2,4,3,3,66.66666666666666,37.295066708035996,1,4.3999999999999595
446,11,3,2,2,4,1,54.54545454545455,35.633499170812605,1,30.600000000000627
447,8,3,2,2,1,2,60.0,40.553067993366504,0,0.0
448,6,2,2,2,0,1,55.55555555555556,42.32172470978441,0,0.0
449,5,1,2,2,0,1,55.55555555555556,43.06992813709232,0,0.0
450,7,2,3,2,0,1,55.55555555555556,43.768559916100905,0,0.0
480,18,3,3,4,8,3,63.63636363636363,36.009732360097324,1,16.799999999999038
481,21,3,6,4,8,2,60.0,40.18532492897728,0,0.0
482,23,3,8,4,8,3,63.63636363636363,39.821999289772734,0,0.0
483,26,5,8,5,8,6,87.5,43.70153832473769,0,0.0
484,27,6,8,5,8,5,77.77777777777777,45.26276009247733,0,0.0
485,25,5,8,4,8,4,70.0,45.42904143695536,0,0.0
486,19,5,6,2,6,3,66.66666666666666,45.25853636848657,1,18.214285714286405
487,13,4,4,1,4,2,62.50000000000001,42.863684865730036,1,4.933333333332346
488,11,2,4,1,4,2,62.50000000000001,39.10190289880846,1,8.966666666665457
489,8,1,3,1,3,2,62.50000000000001,36.81998043748888,1,1.3999999999980695
490,8,1,3,1,3,2,62.50000000000001,33.50702471990041,0,0.0
574,26,6,5,6,9,3,80.0,41.74385604734013,1,14.199999999999768
578,20,6,6,4,4,1,57.14285714285714,31.95289333220368,1,68.39999999999958
579,18,6,6,3,3,1,57.14285714285714,36.9363721087859,1,40.59230769230871
580,13,4,6,0,3,1,57.14285714285714,40.0205456239939,1,43.11428571428522
581,10,4,3,0,3,1,57.14285714285714,41.60234686096755,1,2.0571428571436456
621,23,7,4,6,6,5,85.71428571428571,36.787247536345006,1,0.4999999999988347
622,22,7,4,5,6,5,85.71428571428571,33.084203336910925,1,17.799999999998928
623,23,6,5,5,7,5,85.71428571428571,37.40327009485772,1,41.855555555554425
624,22,5,6,5,6,5,85.71428571428571,37.77521218172741,1,36.79999999999906
625,21,5,6,4,6,6,87.5,38.528457314028955,1,37.799999999998946
626,20,5,6,3,6,6,87.5,39.9291123901848,1,43.999999999999595
627,17,4,6,2,5,4,75.0,44.73159648591336,1,89.71428571428852
628,14,3,6,0,5,2,60.0,46.76340502877916,1,59.29999999999991
649,10,3,3,2,2,2,66.66666666666666,41.66479754456381,1,35.86666666666627
650,7,1,3,1,2,2,66.66666666666666,39.79400306929524,1,47.09999999999992
651,5,1,3,0,1,2,66.66666666666666,44.05678196198796,1,43.23333333333457
652,5,1,3,0,1,2,66.66666666666666,45.89953960571361,1,32.145454545455806
669,23,6,5,6,6,2,75.0,41.55948338992078,1,38.85555555555476
670,21,6,5,4,6,2,75.0,38.93016443645563,1,37.299999999997894
671,20,6,5,4,5,2,75.0,41.48664525730399,1,47.999999999999154
672,18,4,5,4,5,1,60.0,42.72186104801442,1,68.19999999999825
673,13,4,5,1,3,2,66.66666666666666,43.81178037126968,1,24.62857142857322
674,13,4,5,1,3,2,66.66666666666666,45.88587765332498,1,27.966666666667805
675,10,2,5,0,3,2,66.66666666666666,53.63324001018071,1,35.23333333333545
676,6,1,3,0,2,1,60.0,55.94044286077883,1,32.600000000000406
677,5,0,3,0,2,1,60.0,55.94553321455842,1,12.34615384615223
730,5,2,2,1,0,3,80.0,37.96237186176417,1,38.399999999998435
