ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
0,2,0,1,1,0,1,52.631578947368425,32.63737486095661,1,17.677777777778125
13,29,5,5,11,8,9,71.42857142857143,42.23744560743267,1,14.933333333333465
16,34,9,6,10,9,10,69.23076923076923,52.69369481407785,1,7.314285714286051
17,37,8,8,10,11,12,75.0,52.490983708493964,1,36.000000000000476
19,39,8,9,10,12,14,81.81818181818181,50.49869419226464,1,8.636363636365108
20,42,10,8,10,14,14,81.81818181818181,46.66148488993906,1,21.600000000001618
21,35,10,7,7,11,9,71.42857142857143,45.550304688471584,1,52.39999999999911
22,27,10,6,4,7,7,68.42105263157895,45.29847033951001,1,42.800000000000615
23,24,7,6,4,7,8,70.0,49.273298276365765,1,34.000000000000696
24,22,4,8,4,6,8,70.0,50.57843996494304,1,43.83333333333405
25,20,4,7,3,6,8,70.0,51.760151913526144,1,48.50000000000021
37,25,5,7,7,6,9,80.0,33.895382817066036,1,2.044444444442295
44,20,3,5,4,8,11,86.66666666666667,40.404734073641144,1,0.4999999999988347
45,21,3,7,4,7,11,86.66666666666667,39.63763880771479,1,45.072727272728045
46,14,3,3,4,4,4,66.66666666666666,37.99629846093902,1,26.89999999999859
61,48,11,8,14,15,12,83.33333333333333,37.980123902942694,0,0.0
62,56,13,13,13,17,10,75.0,34.60647030420087,1,181.16666666666558
63,57,14,14,12,17,8,68.18181818181819,39.57588926444552,1,196.49999999999946
64,50,12,14,10,14,8,68.18181818181819,43.49509093835506,1,167.30000000000135
65,48,10,15,9,14,7,65.21739130434783,44.456381780138415,1,194.56666666666678
66,45,9,17,6,13,10,72.72727272727272,45.129130574270135,1,119.43846153846138
67,37,9,14,5,9,5,61.904761904761905,44.03954122553738,1,146.43333333333342
68,23,6,10,2,5,2,55.55555555555556,43.383862688482516,1,84.55714285714234
69,15,5,6,0,4,1,52.94117647058823,42.98604427333975,1,33.314285714285404
100,18,0,3,5,10,1,52.631578947368425,47.505073415303805,1,4.999999999999449
101,28,2,9,6,11,1,52.631578947368425,47.76590664915841,1,117.1999999999973
102,32,4,10,6,12,2,55.0,47.73128805061478,1,104.55714285714235
103,36,7,10,7,12,3,57.14285714285714,46.49277784409693,1,57.300000000000125
104,36,7,10,7,12,5,63.15789473684211,43.501253432016235,1,81.61111111111285
