weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
-41,-12,-9,-12,-8,-13,27.58620689655173,41.47054852320675,1,38.38461538461458
-31,-7,-8,-9,-7,-9,32.0,38.98289320710845,1,21.2666666666661
-19,-7,-7,-5,0,-7,36.0,31.704035874439462,1,47.8999999999985
-8,-3,-4,-1,0,-2,45.45454545454546,38.767561552371674,1,46.96363636363721
-4,-3,-1,0,0,-4,41.66666666666667,41.030851010979184,1,27.090909090907722
-27,-7,-8,-8,-4,-8,34.61538461538461,35.954326523833245,1,50.472727272727894
-16,-4,-1,-4,-7,-3,38.46153846153846,39.75524475524475,1,25.26666666666788
-24,-4,-5,-8,-7,-3,38.46153846153846,36.57987643424537,1,5.299999999999194
-26,-4,-7,-8,-7,-3,38.46153846153846,34.582795844931766,1,8.199999999998209
-29,-5,-10,-8,-6,-8,16.666666666666657,28.62346391472605,1,12.828571428571411
-30,-8,-6,-8,-8,-8,25.0,28.999083440831015,1,10.723076923075947
-28,-8,-5,-8,-7,-8,25.0,29.897820625975964,1,15.0769230769221
-28,-8,-5,-8,-7,-9,23.529411764705884,33.60150401996118,1,13.133333333332775
-17,-5,-2,-6,-4,-6,31.25,30.604989463666644,1,16.899999999999693
-18,-5,-2,-7,-4,-6,31.25,28.81262320712392,1,29.69999999999917
-9,-4,-4,0,-1,-3,41.17647058823529,35.71504868329156,1,36.242857142858576
-7,-4,-2,0,-1,-5,36.8421052631579,38.243498623721294,1,14.5384615384625
-9,-4,-4,0,-1,-2,44.44444444444444,30.831313421798612,1,39.36153846153756
-20,-6,-7,-7,0,-8,34.61538461538461,33.89702707191496,1,54.799999999999294
-17,-9,-2,-6,0,-5,27.272727272727266,43.135285482500194,1,69.07142857142779
-35,-7,-9,-10,-9,-8,10.0,43.35800490288516,1,40.599999999999525
-38,-9,-9,-10,-10,-6,25.0,43.53059865224886,1,76.23636363636388
-30,-9,-9,-8,-4,-5,27.272727272727266,46.69134931828867,1,84.10000000000028
-25,-9,-6,-8,-2,-5,27.272727272727266,46.683535501815655,1,98.49999999999915
-38,-9,-9,-10,-10,-7,18.181818181818187,38.24931880108992,1,85.10000000000018
-20,-9,-4,-7,0,-5,27.272727272727266,45.47013829869427,1,116.39999999999873
-25,-7,-7,-5,-6,-4,30.0,37.27505892139193,1,69.38181818181732
-35,-8,-7,-12,-8,-12,20.0,42.06103077239394,1,26.200000000000667
-35,-8,-6,-13,-8,-13,15.78947368421052,38.9870468096772,1,12.788888888888295
-38,-8,-10,-12,-8,-10,22.222222222222214,44.05438283873621,1,62.18571428571407
