ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
2,-16,-3,-3,-4,-6,-2,44.44444444444444,59.1263940520446,1,1.1333333333329865
4,-14,-3,-4,-5,-2,-2,44.44444444444444,64.82238744320529,1,5.0000000000005596
5,-11,-3,-1,-5,-2,-3,41.17647058823529,62.992565055762086,1,18.133333333333333
6,-13,-4,-2,-5,-2,-4,38.888888888888886,62.717885171416775,0,0.0
7,-11,-5,-2,-4,0,-2,45.00000000000001,61.93721602643536,0,0.0
74,-30,-7,-6,-8,-9,-8,21.42857142857143,44.061319383900035,0,0.0
75,-30,-7,-6,-8,-9,-7,26.66666666666667,49.66687422166874,0,0.0
76,-31,-7,-7,-9,-8,-7,26.66666666666667,46.908454987834546,0,0.0
77,-29,-8,-7,-9,-5,-8,21.42857142857143,43.48134991119005,0,0.0
78,-28,-8,-6,-9,-5,-8,21.42857142857143,41.86199824201582,0,0.0
79,-21,-5,-5,-6,-5,-6,25.0,40.41166129504835,0,0.0
80,-21,-6,-5,-6,-4,-5,30.769230769230774,38.555523000293,0,0.0
81,-17,-6,-5,-5,-1,-5,30.769230769230774,38.21418107237035,0,0.0
82,-14,-5,-5,-3,-1,-4,33.33333333333333,37.67213595077644,0,0.0
83,-6,-2,-3,0,-1,-2,39.99999999999999,50.20025839793282,1,32.109090909091535
84,-4,-2,-2,0,0,-2,39.99999999999999,59.08018867924528,1,27.527272727273512
85,-3,-2,-1,0,0,-3,36.36363636363636,59.399895178197056,0,0.0
132,-22,-5,-6,-6,-5,-6,12.5,42.022927689594354,1,19.555555555554882
133,-23,-6,-5,-6,-6,-5,22.222222222222214,42.091710758377424,1,19.91428571428644
134,-22,-6,-5,-6,-5,-5,22.222222222222214,42.07936507936508,1,26.699999999999502
135,-23,-6,-5,-7,-5,-5,22.222222222222214,44.624645892351275,1,35.200000000000784
136,-16,-4,-4,-5,-3,-4,25.0,44.670679886685555,1,18.02727272727345
137,-14,-4,-4,-5,-1,-4,25.0,42.3728813559322,1,32.50000000000086
138,-12,-4,-3,-5,0,-4,25.0,38.185752330226364,1,30.044444444444764
139,-11,-5,-1,-5,0,-4,25.0,36.814247669773636,1,34.70000000000084
140,-8,-4,0,-4,0,-1,44.44444444444444,35.462716378162455,1,37.033333333332806
141,-7,-4,0,-3,0,-1,44.44444444444444,35.01664447403463,1,37.44285714285645
157,-8,-1,0,-4,-3,-2,39.99999999999999,46.492666091458155,1,1.8666666666666831
160,-11,-3,-4,-1,-3,-2,39.99999999999999,54.8862660944206,0,0.0
161,-12,-4,-4,-1,-3,-2,39.99999999999999,54.08798283261803,0,0.0
162,-10,-4,-4,-1,-1,-1,44.44444444444444,53.069139966273184,0,0.0
163,-8,-3,-4,-1,0,-2,37.5,51.614671163575046,1,41.79999999999961
181,-7,-1,-2,-2,-2,-4,0.0,51.355728854229156,1,3.6999999999998145
182,-8,-2,-2,-2,-2,-3,20.0,52.51349730053989,1,34.94545454545528
183,-5,-2,-2,0,-1,-3,20.0,56.95260947810438,0,0.0
184,-5,-2,-2,0,-1,-3,20.0,56.34673065386922,0,0.0
185,-5,-2,-2,0,-1,-3,20.0,54.042085427135675,1,34.79999999999927
186,-4,-2,-2,0,0,-3,20.0,53.212939698492455,0,0.0
230,-26,-4,-6,-8,-8,-7,26.66666666666667,45.18014059753954,1,2.7444444444446603
231,-29,-7,-6,-8,-8,-6,31.25,49.75175746924428,0,0.0
232,-30,-7,-6,-9,-8,-4,37.5,50.38664323374341,0,0.0
233,-30,-8,-8,-7,-7,-4,37.5,49.84402460456942,0,0.0
234,-28,-8,-8,-7,-5,-5,33.33333333333333,49.336801040312096,0,0.0
235,-24,-8,-7,-6,-3,-5,33.33333333333333,47.85218899003034,0,0.0
236,-20,-9,-5,-5,-1,-5,33.33333333333333,46.66449934980494,0,0.0
237,-14,-7,-3,-4,0,-4,35.71428571428572,47.23233636757694,1,52.400000000000226
255,-7,-4,-2,-1,0,-1,42.857142857142854,49.117333333333335,0,0.0
337,-11,-3,-1,-4,-3,-2,37.5,38.4696150174992,1,0.6571428571433557
341,-18,-3,-4,-5,-6,-3,28.57142857142857,41.02449888641426,1,8.133333333333326
342,-17,-4,-3,-5,-5,-3,28.57142857142857,38.02127659574469,1,6.666666666667043
344,-16,-3,-4,-4,-5,-3,28.57142857142857,34.29179331306991,1,1.1333333333329865
345,-16,-4,-4,-4,-4,-3,28.57142857142857,34.30091185410335,1,4.627272727273368
358,-19,-4,-4,-6,-5,-3,33.33333333333333,40.52076002814919,1,16.399999999998638
359,-18,-4,-4,-6,-4,-1,45.45454545454546,37.769176636171714,1,44.1999999999998
360,-16,-4,-5,-4,-3,-1,45.45454545454546,37.55453905700211,1,29.64444444444436
361,-17,-6,-4,-4,-3,-4,30.0,37.54222378606615,1,41.990909090908744
362,-15,-6,-3,-4,-2,-6,25.0,27.47919143876338,1,30.200000000000227
363,-16,-5,-3,-3,-5,-2,42.857142857142854,33.90640516385302,1,63.555555555555586
364,-15,-5,-2,-3,-5,-1,46.666666666666664,36.32571996027805,1,51.523076923076786
365,-7,-2,-2,-1,-2,-2,43.75,36.434955312810324,1,1.2000000000000899
366,-7,-2,-2,-1,-2,-1,46.666666666666664,36.59880834160874,1,2.466666666666173
367,-5,-2,0,-1,-2,-2,42.857142857142854,35.79692154915591,1,9.333333333332305
395,-22,-4,-6,-5,-7,-4,30.0,24.72680412371134,1,15.166666666667217
396,-23,-3,-7,-6,-7,-4,30.0,26.445876288659793,1,22.90000000000014
397,-21,-3,-7,-6,-5,-2,41.66666666666667,27.277061855670098,1,49.03333333333371
398,-21,-7,-7,-3,-4,-1,46.15384615384615,29.87843137254902,1,93.80000000000055
399,-17,-7,-6,-2,-2,-1,46.15384615384615,35.22176308539945,1,91.18181818181914
400,-15,-7,-5,-1,-2,-1,46.15384615384615,35.50413223140495,1,90.94545454545577
439,-1,-1,0,0,0,-1,42.857142857142854,56.20163690476191,1,0.3111111111109288
471,-12,-2,-3,-4,-3,-1,46.15384615384615,25.137953686976516,1,16.43333333333219
472,-15,-3,-4,-4,-4,-2,41.66666666666667,25.790770241418954,1,48.09999999999981
473,-13,-4,-4,-3,-2,-2,41.66666666666667,25.623255050090325,1,36.31818181818236
474,-11,-4,-4,-2,-1,-2,41.66666666666667,25.95417966825423,1,45.65454545454539
475,-13,-4,-6,-2,-1,-3,36.36363636363636,25.630645426178354,1,47.39090909090859
476,-9,-4,-2,-2,-1,-4,30.0,25.679093447199868,1,52.02727272727303
503,-33,-7,-8,-9,-9,-10,14.285714285714292,39.186767746381804,1,31.70000000000006
504,-35,-9,-8,-9,-9,-8,21.42857142857143,40.809786354238454,1,58.59999999999977
505,-33,-9,-8,-9,-7,-9,20.0,40.85286009648518,1,60.59999999999954
506,-32,-9,-8,-9,-6,-12,16.666666666666657,42.48793935217092,1,32.600000000000406
507,-31,-9,-6,-9,-7,-14,11.111111111111114,45.9407305306685,1,23.19999999999989
508,-28,-9,-6,-9,-4,-14,11.111111111111114,47.97208821502412,1,42.90000000000016
509,-26,-9,-4,-9,-4,-14,11.111111111111114,46.902136457615434,1,9.000000000000119
516,-20,-4,-4,-5,-7,-8,16.666666666666657,52.128797603765506,1,1.7999999999995797
521,-34,-9,-7,-10,-8,-12,7.142857142857139,57.76269702276707,1,66.37142857142896
522,-32,-9,-5,-10,-8,-10,8.333333333333329,58.85507880910683,1,16.1
523,-32,-9,-4,-11,-8,-10,8.333333333333329,57.12346760070053,1,23.099999999999234
524,-34,-9,-5,-12,-8,-12,0.0,55.03721541155867,1,13.600000000000279
527,-30,-6,-6,-9,-9,-7,11.111111111111114,62.01876675603217,1,14.600000000000168
528,-29,-6,-5,-9,-9,-7,11.111111111111114,60.95174262734584,1,10.866666666667912
530,-37,-9,-7,-11,-10,-9,9.090909090909093,36.7576584774037,0,0.0
531,-30,-6,-8,-8,-8,-3,36.36363636363636,43.43059936908517,1,29.590909090908557
532,-29,-5,-9,-7,-8,-3,36.36363636363636,44.49053627760252,1,38.19999999999935
533,-26,-5,-7,-7,-7,-3,36.36363636363636,44.00788643533123,1,28.455555555555456
534,-26,-7,-7,-7,-5,-3,36.36363636363636,42.650803273719305,0,0.0
535,-25,-7,-7,-7,-4,-3,36.36363636363636,41.37617459836314,1,43.733333333333405
536,-23,-7,-5,-7,-4,-3,36.36363636363636,39.765080327371926,0,0.0
537,-16,-5,-4,-5,-2,-1,45.45454545454546,39.50439527129433,1,33.72857142857066
538,-11,-4,-4,-3,0,-1,45.45454545454546,38.36314034555926,1,39.53846153846086
539,-10,-4,-4,-2,0,-1,45.45454545454546,36.46559563504092,1,40.86666666666683
551,-5,-2,-2,0,-1,-3,28.57142857142857,44.07491721854304,0,0.0
552,-5,-1,-2,-1,-1,-2,37.5,43.01324503311258,0,0.0
553,-6,-2,-2,-1,-1,-2,37.5,42.08816225165563,0,0.0
554,-4,-1,-2,-1,0,-3,33.33333333333333,42.49793046357616,0,0.0
555,-4,-1,-2,-1,0,-2,39.99999999999999,47.74311531841652,0,0.0
605,-9,-2,-3,-2,-2,-3,33.33333333333333,42.47799295774648,1,16.822222222221406
606,-10,-3,-3,-2,-2,-4,25.0,42.78902582159624,1,35.800000000000274
607,-10,-3,-3,-2,-2,-2,37.5,42.27699530516432,1,52.200000000000024
608,-7,-2,-3,0,-2,-2,37.5,41.03873239436619,1,34.19999999999979
609,-5,-2,-3,0,0,-2,37.5,40.76731220657277,1,32.399999999999096
610,-5,-2,-3,0,0,-1,42.857142857142854,38.90845070422535,1,25.500000000000522
634,-21,-3,-5,-6,-7,-6,25.0,34.71026770586242,1,12.971428571428856
635,-22,-3,-7,-5,-7,-6,25.0,33.9495086411386,1,17.657142857143704
636,-21,-3,-7,-5,-6,-6,25.0,34.747543205692985,1,68.09999999999982
637,-21,-3,-8,-5,-5,-5,30.769230769230774,35.46086072517791,1,24.333333333332874
638,-20,-7,-6,-4,-3,-6,25.0,36.50796340223653,1,84.60000000000024
639,-18,-6,-6,-4,-2,-6,25.0,43.22768192048012,1,45.714285714285595
640,-15,-5,-4,-4,-2,-6,25.0,43.735933983495876,1,25.128571428570943
641,-15,-5,-4,-4,-2,-6,25.0,42.091432685385165,1,22.828571428571422
642,-6,-2,-3,-1,0,-4,30.0,38.29417773237998,1,15.699999999999603
683,-10,-2,-1,-3,-4,-2,33.33333333333333,60.14856081708449,1,8.099999999998664
684,-10,-2,-1,-3,-4,-2,33.33333333333333,61.85701021355617,1,3.4999999999996145
695,-10,-3,-2,-4,-1,-1,42.857142857142854,46.2050947093403,1,51.914285714285135
696,-10,-4,-2,-3,-1,-2,37.5,47.63553233180927,1,36.40000000000087
713,-31,-4,-9,-9,-9,-7,29.411764705882362,57.61764705882353,1,22.366666666666646
714,-32,-5,-9,-9,-9,-7,29.411764705882362,52.90261153427639,1,10.449999999999626
715,-32,-5,-9,-9,-9,-8,25.0,51.42546245919478,1,8.299999999999974
716,-30,-7,-9,-9,-5,-7,26.66666666666667,50.432535364526665,1,46.77777777777781
717,-32,-9,-9,-9,-5,-9,15.384615384615387,49.374319912948856,1,23.571428571429465
718,-28,-9,-6,-8,-5,-8,21.42857142857143,48.02230685527748,1,30.47142857142915
719,-25,-7,-6,-7,-5,-7,23.07692307692308,47.00489662676823,1,21.707692307693094
720,-23,-7,-5,-7,-4,-7,23.07692307692308,47.608813928182805,1,29.792307692307894
721,-17,-6,-4,-7,0,-7,23.07692307692308,49.00979325353645,1,30.00000000000003
722,-12,-4,-3,-5,0,-5,27.272727272727266,51.37649619151251,1,24.200000000000887
723,-9,-4,0,-5,0,-5,27.272727272727266,51.62948857453754,1,32.50000000000086
746,-18,-3,-4,-6,-5,-3,36.36363636363636,54.565033783783775,1,13.400000000001189
747,-17,-3,-4,-5,-5,-5,22.222222222222214,58.94847972972973,1,23.500000000000743
748,-18,-4,-5,-4,-5,-4,25.0,58.994932432432435,1,67.26666666666658
749,-19,-5,-5,-4,-5,-5,22.222222222222214,56.56250000000001,0,0.0
750,-18,-6,-5,-4,-3,-5,22.222222222222214,58.141891891891895,0,0.0
751,-18,-6,-5,-4,-3,-4,30.0,56.376689189189186,0,0.0
752,-13,-5,-3,-4,-1,-3,36.36363636363636,55.83614864864865,1,40.42857142857015
753,-9,-4,-3,-2,0,-3,36.36363636363636,56.448479729729726,1,36.44285714285655
754,-5,-2,-3,0,0,-2,39.99999999999999,56.1402027027027,1,26.171428571428734
755,-4,-2,-2,0,0,-2,39.99999999999999,54.85219594594595,1,18.46923076923135
804,-1,-1,0,0,0,-1,44.44444444444444,58.561588330632084,1,10.7727272727276
826,-27,-5,-7,-8,-7,-9,15.384615384615387,45.34375,1,39.5555555555549
827,-28,-7,-7,-7,-7,-11,13.333333333333329,44.1328125,1,54.60000000000021
828,-27,-7,-7,-7,-6,-10,14.285714285714292,46.82552083333333,0,0.0
829,-29,-8,-7,-7,-7,-12,12.5,49.0234375,0,0.0
830,-28,-8,-7,-7,-6,-10,18.75,36.90070396443127,1,46.222222222221944
834,-20,-7,0,-10,-3,-13,15.78947368421052,43.587077608614926,1,5.466666666666953
835,-18,-5,-2,-8,-3,-11,17.647058823529406,43.04493130337913,1,6.809090909092319
837,-8,-1,-3,-1,-3,-5,30.769230769230774,40.96732268845154,1,3.7999999999993594
840,-8,-1,-3,-2,-2,-6,28.57142857142857,37.75529149647234,1,10.885714285714387
841,-9,-2,-3,-2,-2,-3,39.99999999999999,38.475677682881546,1,43.49999999999965
854,-3,-1,-1,0,-1,-1,46.666666666666664,55.18858800773694,0,0.0
855,-4,-1,-1,-1,-1,-1,46.666666666666664,61.49513568868408,0,0.0
856,-4,-2,-1,-1,0,-2,42.857142857142854,61.546338965693806,0,0.0
857,-6,-4,-1,-1,0,-2,42.857142857142854,58.80299251870325,0,0.0
927,-4,-1,0,-3,0,-2,42.857142857142854,38.19062868700488,1,12.199999999998878
928,-6,-3,0,-3,0,-2,42.857142857142854,37.83499072981628,1,25.533333333332962
929,-6,-3,0,-3,0,-2,42.857142857142854,37.572026800670024,1,13.799999999999368
930,-6,-3,0,-3,0,-1,46.15384615384615,36.12124636745237,1,12.999999999999678
932,-8,-3,-2,-3,0,-3,33.33333333333333,35.640135615111404,1,50.499999999999986
933,-5,-3,-1,-1,0,-3,33.33333333333333,34.751372295770096,1,48.39999999999955
947,-6,-1,-1,-2,-2,-1,44.44444444444444,62.88697788697788,1,10.266666666667312
954,-8,-2,-1,-2,-3,-4,25.0,63.533623910336246,0,0.0
960,-12,-2,-4,-3,-3,-3,28.57142857142857,55.23081924577373,0,0.0
961,-14,-4,-4,-3,-3,-3,28.57142857142857,56.61248374512354,0,0.0
962,-13,-4,-3,-3,-3,-3,28.57142857142857,58.41027308192458,0,0.0
963,-12,-4,-3,-3,-2,-1,44.44444444444444,66.79550245959241,0,0.0
1014,-12,-3,-3,-3,-3,-2,39.99999999999999,68.08339709257842,0,0.0
1015,-12,-3,-3,-3,-3,-1,45.45454545454546,67.62050497322112,0,0.0
1018,-9,-3,-2,-2,-2,-2,37.5,62.75057383320581,0,0.0
1019,-9,-3,-2,-2,-2,-2,37.5,61.939556235654166,0,0.0
1102,-12,-2,-3,-3,-4,-2,33.33333333333333,44.268443893366396,1,8.614285714285685
1103,-13,-2,-4,-3,-4,-3,28.57142857142857,42.88282703037818,1,5.733333333333146
1104,-13,-3,-4,-3,-3,-3,28.57142857142857,44.364538127712336,0,0.0
1105,-14,-4,-4,-3,-3,-3,28.57142857142857,49.05897945659377,0,0.0
1106,-12,-3,-4,-3,-2,-4,16.666666666666657,48.27369118621604,0,0.0
1107,-12,-3,-4,-3,-2,-4,16.666666666666657,55.93444909344492,1,9.35714285714373
1108,-7,-2,-2,-2,-1,-3,20.0,57.64993026499303,1,8.466666666666622
1109,-6,-2,-2,-2,0,-3,20.0,54.73436449226631,1,17.733333333332936
1110,-3,-1,-1,-1,0,-3,20.0,54.199731002017494,1,21.18181818181908
1173,-2,-1,0,-1,0,-1,44.44444444444444,43.973634651600754,0,0.0
1174,-3,-3,0,0,0,-2,37.5,42.54551161330822,0,0.0
1226,-6,-1,-1,-3,-1,-4,25.0,46.03493737640079,1,13.266666666666982
1227,-7,-2,-1,-3,-1,-1,44.44444444444444,47.8345418589321,1,46.97777777777801
1228,-6,-3,-1,-1,-1,-1,44.44444444444444,47.23796967699407,1,59.37142857142863
1229,-8,-4,-2,-1,-1,-1,44.44444444444444,47.063282794990116,1,88.6666666666669
1230,-8,-4,-2,-1,-1,-2,37.5,43.843052109181144,1,58.10000000000093
