weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
-13,-6,-3,-4,0,-1,45.45454545454546,26.82068639798489,1,59.814285714285816
-13,-3,-3,-3,-4,-2,45.45454545454546,45.725918444640826,1,6.499999999998174
-14,-7,-3,-4,0,-1,45.45454545454546,27.901054785894207,1,58.207692307692405
-18,-7,-5,-3,-3,-4,39.99999999999999,46.195556116651936,1,38.7000000000004
-8,-3,-1,-3,-1,-1,47.61904761904762,40.407594264471584,1,23.757142857141478
-10,-3,-2,-3,-2,-5,38.095238095238095,36.89723844928306,1,0.03333333333355171
-25,-3,-6,-5,-11,-10,30.769230769230774,42.80798845043311,1,12.499999999999734
-24,-5,-6,-5,-8,-10,30.769230769230774,42.19923002887391,1,3.4999999999985043
-31,-5,-11,-7,-8,-10,30.769230769230774,40.78205730389855,1,9.40000000000163
-26,-5,-8,-7,-6,-9,32.0,39.373727884765934,1,7.399999999999629
-25,-5,-8,-7,-5,-8,34.61538461538461,37.12541099107562,1,30.200000000000227
-19,-5,-7,-6,-1,-9,32.0,35.82354783153281,1,29.199999999998116
-15,-5,-7,-3,0,-7,34.78260869565217,34.35493972130891,1,24.82857142857231
-8,-2,-5,-1,0,-5,38.095238095238095,33.58181026979983,1,3.1307692307702695
-8,-2,-2,-2,-2,-4,42.30769230769231,50.23102954575036,1,20.999999999999908
-28,-5,-6,-7,-10,-4,35.71428571428572,46.2485076682891,1,3.555555555554424
-35,-6,-9,-10,-10,-5,30.769230769230774,42.165947286252184,1,21.800000000000708
-32,-5,-10,-8,-9,-4,33.33333333333333,39.86169244767971,1,25.100000000000122
-31,-6,-10,-8,-7,-5,30.769230769230774,37.21929026387625,1,7.900000000000684
-30,-6,-9,-8,-7,-4,35.71428571428572,33.90127388535032,1,40.60000000000174
-8,-3,-2,-2,-1,-2,45.833333333333336,35.56369426751592,1,8.35714285714273
-8,-3,-2,-2,-1,-2,45.833333333333336,33.91877637130802,1,11.953846153844871
-24,-7,-6,-6,-5,-3,43.99999999999999,33.8557779799818,1,46.599999999998865
-11,-4,-3,-2,-2,-2,45.833333333333336,36.06232939035487,1,24.690909090909763
-22,-6,-6,-5,-5,-3,43.99999999999999,35.0,1,45.00769230769252
-28,-7,-7,-6,-8,-5,39.130434782608695,33.47816196542311,1,34.70769230769166
-16,-2,-4,-6,-4,-1,47.61904761904762,47.96981043763164,1,11.31428571428783
-49,-6,-14,-13,-16,-11,23.80952380952381,40.86796927942173,1,28.414285714286613
-25,-11,-10,-3,-1,-3,45.16129032258064,51.711516050429076,1,138.34285714285687
-21,-11,-8,-2,0,-2,46.875,50.45237842991842,1,161.83076923077078
-30,-6,-6,-13,-5,-6,38.46153846153846,41.43745503134957,1,51.20000000000013
-28,-6,-3,-9,-10,-7,36.0,44.30275151205383,1,29.399999999999427
-32,-8,-5,-11,-8,-7,37.93103448275862,38.88431695273925,1,48.60000000000086
-35,-10,-8,-11,-6,-12,26.92307692307692,35.23512814483893,1,32.51818181818189
-31,-8,-8,-9,-6,-13,25.925925925925924,33.684849909867545,1,0.2999999999997449
-32,-8,-6,-10,-8,-4,42.857142857142854,40.327220001567525,1,87.08571428571288
-36,-9,-8,-11,-8,-11,28.0,36.51500901324555,1,60.20000000000137
-22,-3,-7,-3,-9,-5,39.99999999999999,37.43062941119597,1,6.057142857143205
-32,-8,-6,-10,-8,-4,42.857142857142854,43.882357952125396,1,103.33333333333306
-24,-7,-5,-7,-5,-2,46.15384615384615,36.99175957343674,1,67.38181818181532
-18,-7,-5,-4,-2,-4,42.857142857142854,37.394571013087734,1,44.74545454545398
-22,-7,-5,-7,-3,-4,41.66666666666667,40.569950691288795,1,57.79999999999896
-11,-4,-1,-2,-4,-8,37.5,33.74612492579645,1,8.3444444444436
-30,-8,-5,-13,-4,-11,29.629629629629633,28.333333333333332,1,2.4000000000001798
-29,-8,-5,-11,-5,-9,32.0,26.340305444887118,1,79.93333333333518
-30,-9,-5,-11,-5,-4,39.99999999999999,25.24667994687915,1,74.47142857142985
-33,-11,-5,-11,-6,-3,42.10526315789474,22.115537848605577,1,56.29999999999802
-39,-11,-8,-11,-9,-10,25.0,33.197914140189184,1,26.199999999998447
-66,-12,-17,-20,-17,-19,14.81481481481481,30.842911877394634,1,18.60000000000195
-66,-17,-18,-19,-12,-15,25.80645161290323,32.720728661671814,1,173.5999999999982
-56,-17,-14,-15,-10,-13,29.032258064516128,37.64984574702512,1,201.2999999999998
-52,-18,-12,-13,-9,-15,27.272727272727266,38.801234023799026,1,170.37272727272733
-49,-17,-10,-13,-9,-14,29.411764705882362,39.6419127368885,1,222.98888888888868
-34,-13,-9,-9,-3,-11,32.25806451612904,37.00217742501932,1,221.50000000000114
-13,-4,-7,-2,0,-3,45.714285714285715,39.69403931515536,1,43.74444444444458
-14,-4,-7,-2,-1,-3,45.714285714285715,40.69657577679138,1,32.999999999998586
-45,-17,-9,-13,-6,-14,29.411764705882362,38.15761747559176,1,248.67777777777712
-49,-10,-12,-15,-12,-14,23.07692307692308,36.9627921519581,1,44.3181818181837
-47,-10,-12,-13,-12,-17,20.689655172413794,35.06214335964981,1,29.300000000000992
-40,-13,-12,-10,-5,-13,32.432432432432435,32.29909224402617,1,60.00000000000006
-50,-13,-12,-13,-12,-8,37.5,31.10499265785609,1,143.61111111111268
-42,-14,-13,-10,-5,-21,25.581395348837205,34.580830329729004,1,12.28888888888946
-47,-10,-12,-13,-12,-13,29.032258064516128,27.750967828060336,1,145.06666666666666
-22,-11,-2,-9,0,-8,35.71428571428572,40.03743705274317,1,39.36923076922838
-31,-8,-7,-8,-8,-7,37.037037037037045,32.6034574823121,1,30.836363636361774
-2,0,-1,0,-1,-3,43.99999999999999,33.13327388709788,1,3.900000000001125
-46,-8,-10,-13,-15,-7,31.578947368421055,29.85655737704918,1,53.288888888891606
-40,-8,-10,-11,-11,-14,15.0,43.06517993874426,1,10.799999999999699
-42,-8,-10,-13,-11,-13,19.04761904761905,38.95243108728943,1,44.10000000000025
-20,-8,-3,-8,-1,-12,25.0,37.25395430579965,1,18.485714285714216
-5,-2,-1,-2,0,-4,39.99999999999999,37.1850074354468,1,24.14545454545447
-24,-5,-6,-7,-6,-5,0.0,38.38409563409564,1,4.599999999999049
-25,-5,-6,-7,-7,-2,37.5,42.822496067121136,1,42.45555555555613
-25,-6,-5,-7,-7,-3,33.33333333333333,42.36103828002098,1,28.590909090910888
-19,-4,-5,-5,-5,-1,44.44444444444444,43.59530676455165,1,35.199999999999676
